ASV,Total_reads,LME1636,LME1637,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714,Tax_Rank,Phylum,Class,Order,Family,Subfamily,Genus,Species,Confidence,Supporting_Recs,Best_ID_percent,Number_of_BOLD_hits,Top_hit_families,Top_hit_genera,Top_hit_species,Ambiguous_family,Ambiguous_genus,Ambiguous_species,Assignment_status
ASV1090,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Coryloideae,Corylus,,100.0,8,98.00,100,,,,NO,NO,NO,Assigned
ASV1094,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Coryloideae,Corylus,,99.95,8,98.00,100,,,,NO,NO,NO,Assigned
ASV11,3683,0,0,0,0,472,541,64,239,71,0,142,250,772,212,543,377,GENUS,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Violoideae,Viola,,98.72,96,100.00,100,Violaceae,Viola,Viola reichenbachiana;Viola riviniana,NO,NO,YES,Assigned
ASV1100,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.32,98,99.73,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades,NO,NO,YES,Assigned
ASV1102,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amygdaloideae,Sorbus,,95.71,50,99.67,100,Rosaceae,Sorbus,Sorbus amabilis,NO,NO,NO,Assigned
ASV1103,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,75.24,20,98.85,100,Primulaceae,Cyclamen,Cyclamen purpurascens,NO,NO,NO,Low-confidence
ASV1104,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,95,99.43,100,Rosaceae,Rubus,Rubus fruticosus agg.,NO,NO,NO,Assigned
ASV1114,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,,100.0,10,100.00,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus fruticosus agg.;Rubus ichangensis;Rubus idaeus;Rubus pungens var. indefensus;Rubus saxatilis;Rubus sumatranus,NO,NO,YES,Assigned
ASV1116,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,,,85.68,14,99.21,100,Boraginaceae,Amsinckia;Cryptantha;Myosotis,Amsinckia menziesii;Cryptantha parviflora;Myosotis secunda,NO,YES,YES,Assigned
ASV1123,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,100,99.02,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus allegheniensis;Rubus arrheniiformis;Rubus bertramii;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus canadensis;Rubus caninitergi;Rubus cochinchinensis;Rubus dasyphyllus;Rubus dejonghii;Rubus divaricatus;Rubus edeesii;Rubus eglandulosus;Rubus eifeliensis;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foliosus;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus leucandrus;Rubus lindebergii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus oreades;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus scissoides;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV1125,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,CLASS,Tracheophyta,Magnoliopsida,,,,,,99.21,94,99.23,100,Viburnaceae,Adoxa,Adoxa moschatellina,NO,NO,NO,Assigned
ASV1137,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,100,100.00,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adspersus;Rubus amisiensis;Rubus arrheniiformis;Rubus bovinus;Rubus braeuckeriformis;Rubus campaniensis;Rubus canescens;Rubus chloocladus;Rubus cochinchinensis;Rubus dasyphyllus;Rubus deweveri;Rubus divaricatus;Rubus eglandulosus;Rubus eifeliensis;Rubus elegantispinosus;Rubus favillatus;Rubus flagellaris;Rubus frederici;Rubus fruticosus agg.;Rubus genevieri;Rubus gloriosus;Rubus hispidus;Rubus insectifolius;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus leucandrus;Rubus longior;Rubus montanus;Rubus mucronipetalus;Rubus neanias;Rubus nelliae;Rubus nemoripatens;Rubus nitidiformis;Rubus opacus;Rubus paludosus;Rubus passionis;Rubus planus;Rubus plicatus;Rubus poliothyrsus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus sp. Glandulosi MS-2014b;Rubus sp. MS-2014a;Rubus sp. MS-2014i;Rubus sp. MS-2014k;Rubus spina-curva;Rubus splendidus;Rubus sprengelii;Rubus stereacanthos;Rubus tubanticus;Rubus ulmifolius;Rubus ursinus;Rubus urticifolius;Rubus vulgaris;Rubus winteri,NO,NO,YES,Assigned
ASV1153,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,12,97.71,100,Rosaceae,Rubus,Rubus flagellaris;Rubus lasiandrus;Rubus pentagonus;Rubus pinnatisepalus;Rubus reflexus,NO,NO,YES,Assigned
ASV1154,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,,95.07,73,100.00,100,Orobanchaceae;Rosaceae,Castilleja;Rubus,Castilleja unalaschcensis;Rubus coreanus;Rubus fruticosus agg.;Rubus ichangensis;Rubus idaeus;Rubus lambertianus;Rubus parviflorus;Rubus pubescens;Rubus pungens var. indefensus;Rubus saxatilis;Rubus sumatranus,YES,YES,YES,Assigned
ASV1157,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,94,99.29,100,Cucurbitaceae,Sicyos,Sicyos baderoa,NO,NO,NO,Assigned
ASV1159,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteroideae,,,78.43,38,97.74,100,Asteraceae,Achillea;Arnica;Chromolaena;Praxelis;Riencourtia;Sigesbeckia;Viguiera,Achillea maritima;Arnica chamissonis;Chromolaena multiflosculosa;Praxelis asperulacea;Riencourtia pedunculosa;Sigesbeckia flosculosa;Viguiera dentata,NO,YES,YES,Low-confidence
ASV1160,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,73,99.31,100,Oxalidaceae,Oxalis,Oxalis acetosella,NO,NO,NO,Assigned
ASV117,234,23,27,0,0,6,13,0,13,0,0,24,13,30,0,0,85,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,88,100.00,100,Ranunculaceae,Hepatica,Hepatica nobilis,NO,NO,NO,Assigned
ASV1190,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Coryloideae,Corylus,,100.0,8,98.00,100,,,,NO,NO,NO,Assigned
ASV12,2914,0,0,46,0,444,247,72,32,38,224,0,666,395,87,294,369,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,91.13,56,100.00,100,Primulaceae,Cyclamen,Cyclamen purpurascens,NO,NO,NO,Assigned
ASV120,230,0,0,0,0,0,0,0,0,0,13,194,23,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Solidago,,96.17,96,100.00,100,Asteraceae,Solidago,Solidago virgaurea,NO,NO,NO,Assigned
ASV1206,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Coryloideae,,,79.71,60,100.00,100,Betulaceae,Corylus,Corylus heterophylla;Corylus sieboldiana,NO,NO,YES,Low-confidence
ASV1209,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,,,71.5,3,99.50,100,,,,NO,NO,NO,Low-confidence
ASV121,229,0,0,0,0,183,0,0,0,0,23,0,0,23,0,0,0,CLASS,Tracheophyta,Magnoliopsida,,,,,,99.24,95,100.00,100,Ranunculaceae,Helleborus,Helleborus orientalis,NO,NO,NO,Assigned
ASV1215,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,,88.82,80,100.00,100,Apiaceae,Aegopodium,Aegopodium podagraria,NO,NO,NO,Assigned
ASV123,226,0,0,0,0,0,15,57,32,41,0,0,22,24,0,35,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Aremonia,,100.0,1,100.00,100,Rosaceae,Aremonia,Aremonia agrimonioides,NO,NO,NO,Assigned
ASV125,215,11,0,20,0,0,16,0,0,2,0,0,34,32,37,20,43,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.97,92,99.20,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus condensatus;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foersteri;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus lindleianus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus procerus;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus schleicheri;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV1257,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,CLASS,Tracheophyta,Magnoliopsida,,,,,,99.61,95,100.00,100,Betulaceae,Corylus,Corylus colurna,NO,NO,NO,Assigned
ASV1261,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,FAMILY,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,,,,90.05,19,98.86,100,,,,NO,NO,NO,Assigned
ASV127,212,30,0,0,0,0,0,0,39,0,0,0,0,0,0,91,52,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.9,90,100.00,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV13,2839,0,0,279,0,341,294,0,0,0,328,0,0,0,484,658,455,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.58,98,99.77,100,Rosaceae,Rubus,Rubus fruticosus agg.,NO,NO,NO,Assigned
ASV130,204,0,0,0,0,0,0,148,0,56,0,0,0,0,0,0,0,CLASS,Tracheophyta,Magnoliopsida,,,,,,100.0,88,99.02,100,Boraginaceae,Omphalodes,Omphalodes verna,NO,NO,NO,Assigned
ASV131,203,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.7,94,100.00,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV1312,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.46,35,99.54,100,Rosaceae,Rubus,Rubus flagellaris;Rubus lasiandrus;Rubus pentagonus;Rubus pinnatisepalus;Rubus reflexus,NO,NO,YES,Assigned
ASV1336,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.44,35,99.54,100,Rosaceae,Rubus,Rubus flagellaris;Rubus lasiandrus;Rubus pentagonus;Rubus pinnatisepalus;Rubus reflexus,NO,NO,YES,Assigned
ASV1337,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.99,26,98.62,100,Rosaceae,Rubus,Rubus acuminatus;Rubus stimulans;Rubus subornatus,NO,NO,YES,Assigned
ASV1374,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamioideae,Lamium,,93.33,11,99.10,100,Lamiaceae,Lamium,Lamium galeobdolon subsp. flavidum,NO,NO,NO,Assigned
