Query ID,Tree,Tax Rank,Phylum,Class,Order,Family,Subfamily,Tribe,Genus,Species,Confidence,Supporting Recs
ASV1090, Tree,GENUS,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Coryloideae,,Corylus,,100.0,8
ASV1190, Tree,GENUS,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Coryloideae,,Corylus,,100.0,8
ASV1014, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,6
ASV1032, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Apioideae,,,,100.0,5
ASV123, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Aremonia,,100.0,1
ASV1337, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.99,26
ASV125, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.97,92
ASV1094, Tree,GENUS,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Coryloideae,,Corylus,,99.95,8
ASV127, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.9,90
ASV1064, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.87,27
ASV131, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.7,94
ASV1257, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,99.61,95
ASV14, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.6,98
ASV1017, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.59,96
ASV13, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.58,98
ASV157, Tree,GENUS,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculoideae,,Clematis,,99.49,70
ASV1312, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.46,35
ASV1060, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.45,37
ASV1336, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.44,35
ASV1, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.33,98
ASV1100, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.32,98
ASV1035, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,99.31,95
ASV152, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.3,97
ASV1072, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.29,93
ASV121, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,99.24,95
ASV1125, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,99.21,94
ASV1086, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.06,69
ASV11, Tree,GENUS,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Violoideae,,Viola,,98.72,96
ASV100, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,98.55,79
ASV105, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,98.54,78
ASV146, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Papilionoideae,,,,98.35,52
ASV1040, Tree,GENUS,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,,,Omphalodes,,98.2,6
ASV1031, Tree,FAMILY,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,,,,,97.62,12
ASV120, Tree,GENUS,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteroideae,,Solidago,,96.17,96
ASV1102, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amygdaloideae,,Sorbus,,95.71,50
ASV1154, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,,,95.07,73
ASV1374, Tree,GENUS,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamioideae,,Lamium,,93.33,11
ASV12, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,,91.13,56
ASV1028, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,90.32,85
ASV1261, Tree,FAMILY,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,,,,,90.05,19
ASV1215, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,,,88.82,80
ASV1116, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,,,,85.68,14
ASV1061, Tree,FAMILY,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,,,84.45,84
ASV1206, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Coryloideae,,,,79.71,60
ASV1066, Tree,FAMILY,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,,,,,78.97,65
ASV1159, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteroideae,,,,78.43,38
ASV1041, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteroideae,,,,75.57,22
ASV1103, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,,75.24,20
ASV1068, Tree,ORDER,Tracheophyta,Magnoliopsida,Rosales,,,,,,74.14,74
ASV1209, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,,,,71.5,3
ASV101, Tree,,,,,,,,,,,0
ASV102, Tree,,,,,,,,,,,0
ASV1026, Tree,,,,,,,,,,,0
ASV1029, Tree,,,,,,,,,,,0
ASV1037, Tree,,,,,,,,,,,0
ASV104, Tree,,,,,,,,,,,0
ASV107, Tree,,,,,,,,,,,0
ASV109, Tree,,,,,,,,,,,0
ASV114, Tree,,,,,,,,,,,0
ASV1146, Tree,,,,,,,,,,,0
ASV115, Tree,,,,,,,,,,,0
ASV1178, Tree,,,,,,,,,,,0
ASV1233, Tree,,,,,,,,,,,0
ASV1234, Tree,,,,,,,,,,,0
ASV1235, Tree,,,,,,,,,,,0
ASV1237, Tree,,,,,,,,,,,0
ASV1238, Tree,,,,,,,,,,,0
ASV124, Tree,,,,,,,,,,,0
ASV1240, Tree,,,,,,,,,,,0
ASV1241, Tree,,,,,,,,,,,0
ASV1242, Tree,,,,,,,,,,,0
ASV1245, Tree,,,,,,,,,,,0
ASV1252, Tree,,,,,,,,,,,0
ASV1256, Tree,,,,,,,,,,,0
ASV128, Tree,,,,,,,,,,,0
ASV129, Tree,,,,,,,,,,,0
ASV132, Tree,,,,,,,,,,,0
ASV133, Tree,,,,,,,,,,,0
ASV135, Tree,,,,,,,,,,,0
ASV137, Tree,,,,,,,,,,,0
ASV140, Tree,,,,,,,,,,,0
ASV143, Tree,,,,,,,,,,,0
ASV151, Tree,,,,,,,,,,,0
ASV154, Tree,,,,,,,,,,,0
ASV177, Tree,GENUS,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,,,Salix,,100.0,100
ASV314, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,100
ASV325, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,100
ASV270, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,96
ASV338, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,94
ASV276, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,93
ASV159, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,89
ASV171, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,89
ASV330, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,89
ASV165, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,,100.0,88
ASV198, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,88
ASV306, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,85
ASV161, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,73
ASV195, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,55
ASV229, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,55
ASV183, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Fragaria,,100.0,43
ASV19, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Fragaria,,100.0,43
ASV334, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Fragaria,,100.0,40
ASV335, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,36
ASV339, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,12
ASV236, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,,,100.0,4
ASV257, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,,,100.0,3
ASV320, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.99,26
ASV312, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.9,92
ASV216, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.88,26
ASV319, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.85,46
ASV302, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.84,87
ASV318, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.84,87
ASV224, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,99.83,83
ASV244, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,99.83,83
ASV329, Tree,GENUS,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculoideae,,Clematis,,99.77,60
ASV328, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.72,93
ASV235, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.63,89
ASV3, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.6,96
ASV25, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.59,97
ASV189, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.59,96
ASV26, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.58,98
ASV202, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.58,97
ASV233, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.58,97
ASV20, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.57,97
ASV170, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.57,96
ASV268, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.57,96
ASV27, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.57,96
ASV223, Tree,GENUS,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Coryloideae,,Corylus,,99.56,6
ASV160, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amygdaloideae,,Sorbus,,99.49,85
ASV24, Tree,GENUS,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculoideae,,Clematis,,99.48,69
ASV275, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.35,83
ASV31, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rosa,,99.33,99
ASV18, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.32,98
ASV2, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.31,98
ASV16, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.29,97
ASV254, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,99.22,95
ASV218, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,99.21,95
ASV309, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amygdaloideae,,Sorbus,,99.11,84
ASV34, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.02,98
ASV162, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,98.67,88
ASV21, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,98.51,79
ASV248, Tree,SPECIES,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Digitalidoideae,,Veronica,Veronica officinalis,94.52,17
ASV188, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculoideae,,,,87.39,25
ASV299, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amygdaloideae,,,,76.49,64
ASV28, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteroideae,,,,70.1,16
ASV158, Tree,,,,,,,,,,,0
ASV167, Tree,,,,,,,,,,,0
ASV174, Tree,,,,,,,,,,,0
ASV179, Tree,,,,,,,,,,,0
ASV180, Tree,,,,,,,,,,,0
ASV182, Tree,,,,,,,,,,,0
ASV197, Tree,,,,,,,,,,,0
ASV200, Tree,,,,,,,,,,,0
ASV201, Tree,,,,,,,,,,,0
ASV203, Tree,,,,,,,,,,,0
ASV204, Tree,,,,,,,,,,,0
ASV206, Tree,,,,,,,,,,,0
ASV207, Tree,,,,,,,,,,,0
ASV211, Tree,,,,,,,,,,,0
ASV219, Tree,,,,,,,,,,,0
ASV226, Tree,,,,,,,,,,,0
ASV231, Tree,,,,,,,,,,,0
ASV243, Tree,,,,,,,,,,,0
ASV247, Tree,,,,,,,,,,,0
ASV251, Tree,,,,,,,,,,,0
ASV265, Tree,,,,,,,,,,,0
ASV267, Tree,,,,,,,,,,,0
ASV269, Tree,,,,,,,,,,,0
ASV281, Tree,,,,,,,,,,,0
ASV282, Tree,,,,,,,,,,,0
ASV284, Tree,,,,,,,,,,,0
ASV286, Tree,,,,,,,,,,,0
ASV289, Tree,,,,,,,,,,,0
ASV29, Tree,,,,,,,,,,,0
ASV290, Tree,,,,,,,,,,,0
ASV303, Tree,,,,,,,,,,,0
ASV305, Tree,,,,,,,,,,,0
ASV315, Tree,,,,,,,,,,,0
ASV316, Tree,,,,,,,,,,,0
ASV317, Tree,,,,,,,,,,,0
ASV32, Tree,,,,,,,,,,,0
ASV322, Tree,,,,,,,,,,,0
ASV323, Tree,,,,,,,,,,,0
ASV327, Tree,,,,,,,,,,,0
ASV412, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,100
ASV532, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,100
ASV373, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,94
ASV478, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,94
ASV394, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,92
ASV359, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,91
ASV396, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,89
ASV512, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,,100.0,85
ASV401, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,72
ASV497, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,55
ASV369, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,54
ASV49, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Fragaria,,100.0,44
ASV467, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,36
ASV416, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,20
ASV381, Tree,SPECIES,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,,,Genista,Genista tinctoria,100.0,12
ASV383, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,10
ASV531, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,10
ASV347, Tree,GENUS,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,,,Hedera,,100.0,6
ASV382, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Saniculoideae,,,,100.0,6
ASV40, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,,,100.0,4
ASV483, Tree,SPECIES,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,,,Fraxinus,Fraxinus ornus,100.0,3
ASV444, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,,,100.0,2
ASV479, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Fragaria,,100.0,2
ASV426, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Fragaria,,99.99,46
ASV400, Tree,GENUS,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,,,Salix,,99.98,99
ASV530, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.91,89
ASV343, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.73,93
ASV363, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.71,96
ASV514, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.71,96
ASV498, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.64,94
ASV410, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.62,85
ASV508, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.6,97
ASV39, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.6,96
ASV52, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.6,96
ASV342, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.59,96
ASV419, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.59,96
ASV35, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.58,97
ASV4, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.58,97
ASV41, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.48,35
ASV397, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.31,98
ASV5, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,99.3,98
ASV510, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,99.23,95
ASV505, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amygdaloideae,,Sorbus,,98.7,85
ASV406, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,97.66,50
ASV464, Tree,GENUS,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteroideae,,Solidago,,96.85,95
ASV451, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amygdaloideae,,Sorbus,,96.35,72
ASV482, Tree,GENUS,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,,,Fraxinus,,96.0,47
ASV428, Tree,SPECIES,Tracheophyta,Magnoliopsida,Crossosomatales,Staphyleaceae,,,Staphylea,Staphylea pinnata,93.42,3
ASV513, Tree,GENUS,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,,,Hedera,,92.89,17
ASV511, Tree,SPECIES,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Digitalidoideae,,Veronica,Veronica montana,92.79,10
ASV368, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,,91.64,57
ASV354, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,,91.51,56
ASV527, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculoideae,,,,91.28,49
ASV450, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,,90.23,55
ASV348, Tree,ORDER,Tracheophyta,Magnoliopsida,Lamiales,,,,,,87.33,65
ASV447, Tree,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,,87.28,52
ASV463, Tree,GENUS,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Ajugoideae,,Teucrium,,86.07,17
ASV395, Tree,GENUS,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamioideae,,Lamium,,84.44,13
ASV350, Tree,,,,,,,,,,,0
ASV351, Tree,,,,,,,,,,,0
ASV352, Tree,,,,,,,,,,,0
ASV353, Tree,,,,,,,,,,,0
ASV357, Tree,,,,,,,,,,,0
ASV358, Tree,,,,,,,,,,,0
ASV364, Tree,,,,,,,,,,,0
ASV366, Tree,,,,,,,,,,,0
ASV367, Tree,,,,,,,,,,,0
ASV372, Tree,,,,,,,,,,,0
ASV376, Tree,,,,,,,,,,,0
ASV377, Tree,,,,,,,,,,,0
ASV378, Tree,,,,,,,,,,,0
ASV38, Tree,,,,,,,,,,,0
ASV384, Tree,,,,,,,,,,,0
ASV391, Tree,,,,,,,,,,,0
ASV392, Tree,,,,,,,,,,,0
ASV393, Tree,,,,,,,,,,,0
ASV404, Tree,,,,,,,,,,,0
ASV408, Tree,,,,,,,,,,,0
ASV415, Tree,,,,,,,,,,,0
ASV42, Tree,,,,,,,,,,,0
ASV423, Tree,,,,,,,,,,,0
ASV43, Tree,,,,,,,,,,,0
ASV434, Tree,,,,,,,,,,,0
ASV44, Tree,,,,,,,,,,,0
ASV441, Tree,,,,,,,,,,,0
ASV445, Tree,,,,,,,,,,,0
ASV45, Tree,,,,,,,,,,,0
ASV47, Tree,,,,,,,,,,,0
ASV472, Tree,,,,,,,,,,,0
ASV473, Tree,,,,,,,,,,,0
ASV48, Tree,,,,,,,,,,,0
ASV480, Tree,,,,,,,,,,,0
ASV491, Tree,,,,,,,,,,,0
ASV496, Tree,,,,,,,,,,,0
ASV50, Tree,,,,,,,,,,,0
ASV504, Tree,,,,,,,,,,,0
ASV519, Tree,,,,,,,,,,,0
ASV53, Tree,,,,,,,,,,,0
ASV533, Tree,,,,,,,,,,,0
ASV537, Tree,,,,,,,,,,,0
ASV759, Tree,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,Rubus,,100.0,100
ASV602, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,95
ASV691, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,95
ASV575, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,94
ASV658, Tree,CLASS,Tracheophyta,Magnoliopsida,,,,,,,100.0,94
