ASV,Tax_Rank,Phylum,Class,Order,Family,Subfamily,Genus,Species,Confidence,Supporting_Recs,Best_ID_percent,Number_of_BOLD_hits,Top_hit_families,Top_hit_genera,Top_hit_species,Ambiguous_family,Ambiguous_genus,Ambiguous_species,Assignment_status
ASV125,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.97,92,99.20,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus condensatus;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foersteri;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus lindleianus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus procerus;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus schleicheri;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV1094,GENUS,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Coryloideae,Corylus,,99.95,8,98.00,100,,,,NO,NO,NO,Assigned
ASV127,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.9,90,100.00,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV1064,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.87,27,98.91,100,Rosaceae,Rubus,Rubus pensilvanicus,NO,NO,NO,Assigned
ASV131,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.7,94,100.00,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV1257,CLASS,Tracheophyta,Magnoliopsida,,,,,,99.61,95,100.00,100,Betulaceae,Corylus,Corylus colurna,NO,NO,NO,Assigned
ASV14,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.6,98,100.00,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV1017,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.59,96,99.47,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades,NO,NO,YES,Assigned
ASV13,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.58,98,99.77,100,Rosaceae,Rubus,Rubus fruticosus agg.,NO,NO,NO,Assigned
ASV157,GENUS,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculoideae,Clematis,,99.49,70,100.00,100,Ranunculaceae,Clematis,Clematis vitalba,NO,NO,NO,Assigned
ASV1312,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.46,35,99.54,100,Rosaceae,Rubus,Rubus flagellaris;Rubus lasiandrus;Rubus pentagonus;Rubus pinnatisepalus;Rubus reflexus,NO,NO,YES,Assigned
ASV1060,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.45,37,99.54,100,Rosaceae,Rubus,Rubus flagellaris;Rubus lasiandrus;Rubus pentagonus;Rubus pinnatisepalus;Rubus reflexus,NO,NO,YES,Assigned
ASV1336,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.44,35,99.54,100,Rosaceae,Rubus,Rubus flagellaris;Rubus lasiandrus;Rubus pentagonus;Rubus pinnatisepalus;Rubus reflexus,NO,NO,YES,Assigned
ASV1,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.33,98,100.00,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus frederici;Rubus fruticosus agg.;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV1100,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.32,98,99.73,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades,NO,NO,YES,Assigned
ASV1035,CLASS,Tracheophyta,Magnoliopsida,,,,,,99.31,95,100.00,100,Asteraceae;Rosaceae;Sapindaceae,Acer;Dittrichia;Rubus,Acer pseudoplatanus;Dittrichia viscosa;Rubus aff. adenotrichos PGGS-2007;Rubus allegheniensis;Rubus arcticus;Rubus caesius;Rubus canadensis;Rubus chroosepalus;Rubus ellipticus;Rubus hispidus;Rubus pensilvanicus;Rubus pentagonus;Rubus pinnatisepalus;Rubus reflexus;Rubus ursinus,YES,YES,YES,Assigned
ASV152,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.3,97,99.73,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades,NO,NO,YES,Assigned
ASV1072,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.29,93,99.59,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades,NO,NO,YES,Assigned
ASV121,CLASS,Tracheophyta,Magnoliopsida,,,,,,99.24,95,100.00,100,Ranunculaceae,Helleborus,Helleborus orientalis,NO,NO,NO,Assigned
ASV1125,CLASS,Tracheophyta,Magnoliopsida,,,,,,99.21,94,99.23,100,Viburnaceae,Adoxa,Adoxa moschatellina,NO,NO,NO,Assigned
ASV1086,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.06,69,99.70,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus idaeus;Rubus saxatilis,NO,NO,YES,Assigned
ASV11,GENUS,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,Violoideae,Viola,,98.72,96,100.00,100,Violaceae,Viola,Viola reichenbachiana;Viola riviniana,NO,NO,YES,Assigned
ASV100,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,98.55,79,99.77,100,Rosaceae,Rubus,Rubus idaeus;Rubus saxatilis,NO,NO,YES,Assigned
ASV105,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,98.54,78,99.77,100,Rosaceae,Rubus,Rubus idaeus;Rubus saxatilis,NO,NO,YES,Assigned
ASV146,SUBFAMILY,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Papilionoideae,,,98.35,52,99.42,100,Fabaceae,Lathyrus,Lathyrus vernus,NO,NO,NO,Assigned
ASV1040,GENUS,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,,Omphalodes,,98.2,6,99.34,100,Boraginaceae,Omphalodes,Omphalodes verna,NO,NO,NO,Assigned
ASV1031,FAMILY,Tracheophyta,Magnoliopsida,Malpighiales,Violaceae,,,,97.62,12,94.24,100,Violaceae,Viola,Viola adunca,NO,NO,NO,Assigned
ASV120,GENUS,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteroideae,Solidago,,96.17,96,100.00,100,Asteraceae,Solidago,Solidago virgaurea,NO,NO,NO,Assigned
ASV1102,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amygdaloideae,Sorbus,,95.71,50,99.67,100,Rosaceae,Sorbus,Sorbus amabilis,NO,NO,NO,Assigned
ASV1154,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,,95.07,73,100.00,100,Orobanchaceae;Rosaceae,Castilleja;Rubus,Castilleja unalaschcensis;Rubus coreanus;Rubus fruticosus agg.;Rubus ichangensis;Rubus idaeus;Rubus lambertianus;Rubus parviflorus;Rubus pubescens;Rubus pungens var. indefensus;Rubus saxatilis;Rubus sumatranus,YES,YES,YES,Assigned
ASV1374,GENUS,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamioideae,Lamium,,93.33,11,99.10,100,Lamiaceae,Lamium,Lamium galeobdolon subsp. flavidum,NO,NO,NO,Assigned
ASV12,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,91.13,56,100.00,100,Primulaceae,Cyclamen,Cyclamen purpurascens,NO,NO,NO,Assigned
ASV1028,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,90.32,85,100.00,100,Betulaceae,Corylus,Corylus avellana;Corylus cornuta,NO,NO,YES,Assigned
ASV1261,FAMILY,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,,,,90.05,19,98.86,100,,,,NO,NO,NO,Assigned
ASV1215,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,,88.82,80,100.00,100,Apiaceae,Aegopodium,Aegopodium podagraria,NO,NO,NO,Assigned
ASV1116,SUBFAMILY,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Cynoglossoideae,,,85.68,14,99.21,100,Boraginaceae,Amsinckia;Cryptantha;Myosotis,Amsinckia menziesii;Cryptantha parviflora;Myosotis secunda,NO,YES,YES,Assigned
ASV1061,FAMILY,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,,,,84.45,84,100.00,100,Asteraceae,Carlina;Cirsium;Saussurea,Carlina vulgaris;Cirsium acaule;Cirsium oleraceum;Saussurea alpina;Saussurea angustifolia,NO,YES,YES,Assigned
ASV1206,SUBFAMILY,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Coryloideae,,,79.71,60,100.00,100,Betulaceae,Corylus,Corylus heterophylla;Corylus sieboldiana,NO,NO,YES,Low-confidence
ASV1066,FAMILY,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,,,,78.97,65,100.00,100,Boraginaceae;Orobanchaceae,Castilleja;Eritrichium;Hackelia;Lycopsis;Mertensia;Myosotis;Pentaglottis,Castilleja yukonis;Eritrichium splendens;Hackelia micrantha;Lycopsis arvensis;Mertensia longiflora;Mertensia maritima;Mertensia paniculata;Myosotis alpestris;Myosotis arvensis;Myosotis laxa;Myosotis ramosissima;Myosotis scorpioides;Myosotis stolonifera;Myosotis sylvatica;Pentaglottis sempervirens,YES,YES,YES,Low-confidence
ASV1159,SUBFAMILY,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteroideae,,,78.43,38,97.74,100,Asteraceae,Achillea;Arnica;Chromolaena;Praxelis;Riencourtia;Sigesbeckia;Viguiera,Achillea maritima;Arnica chamissonis;Chromolaena multiflosculosa;Praxelis asperulacea;Riencourtia pedunculosa;Sigesbeckia flosculosa;Viguiera dentata,NO,YES,YES,Low-confidence
ASV1041,SUBFAMILY,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteroideae,,,75.57,22,97.26,100,Cucurbitaceae,Thladiantha,Thladiantha cordifolia,NO,NO,NO,Low-confidence
ASV1103,SUBFAMILY,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicoideae,,,75.24,20,98.85,100,Primulaceae,Cyclamen,Cyclamen purpurascens,NO,NO,NO,Low-confidence
ASV1068,ORDER,Tracheophyta,Magnoliopsida,Rosales,,,,,74.14,74,97.86,100,Boraginaceae,Symphytum,Symphytum tuberosum,NO,NO,NO,Low-confidence
ASV1209,SUBFAMILY,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Boraginoideae,,,71.5,3,99.50,100,,,,NO,NO,NO,Low-confidence
ASV101,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV102,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1026,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1029,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1037,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV104,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV107,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV109,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV114,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1146,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV115,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1178,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1233,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1234,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1235,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1237,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1238,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV124,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1240,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
ASV1241,Unassigned,,,,,,,,,0,,0,,,,NO,NO,NO,Unassigned
