OTU_ID	LME1636	LME1637	LME1656	LME1663	LME1668	LME1670	LME1679	LME1689	LME1692	LME1695	LME1698	LME1701	LME1702	LME1705	LME1708	LME1714	Centroid_ASV	Tax_Rank	Phylum	Class	Order	Family	Subfamily	Genus	Species	Confidence	Supporting_Recs	Best_ID_percent	Number_of_BOLD_hits	Top_hit_families	Top_hit_genera	Top_hit_species	Ambiguous_family	Ambiguous_genus	Ambiguous_species	Assignment_status
OTU_11	2644	0	0	273	65	0	0	0	0	0	0	0	0	440	0	0	ASV50	Unassigned									0		0				NO	NO	NO	Unassigned
OTU_12	0	0	0	0	920	4	13	0	0	23	5	0	23	0	50	63	ASV60	CLASS	Tracheophyta	Magnoliopsida						99.24	95	100.00	100	Ranunculaceae	Helleborus	Helleborus viridis	NO	NO	NO	Assigned
OTU_13	0	0	0	0	0	0	0	391	919	0	43	0	0	0	120	0	ASV73	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Rubus		98.66	87	100.00	100	Rosaceae	Rubus	Rubus cochinchinensis;Rubus idaeus	NO	NO	YES	Assigned
OTU_14	49	0	27	36	125	0	0	0	0	137	12	0	220	0	0	4	ASV89	CLASS	Tracheophyta	Magnoliopsida						100.0	94	100.00	100	Euphorbiaceae	Mercurialis	Mercurialis perennis	NO	NO	NO	Assigned
OTU_15	23	27	0	0	6	13	0	13	0	0	24	13	30	0	0	85	ASV117	CLASS	Tracheophyta	Magnoliopsida						100.0	88	100.00	100	Ranunculaceae	Hepatica	Hepatica nobilis	NO	NO	NO	Assigned
OTU_16	0	0	0	0	0	0	0	0	0	13	228	23	0	0	0	0	ASV120	GENUS	Tracheophyta	Magnoliopsida	Asterales	Asteraceae	Asteroideae	Solidago		96.17	96	100.00	100	Asteraceae	Solidago	Solidago virgaurea	NO	NO	NO	Assigned
OTU_17	0	32	0	0	0	0	0	0	7	0	54	0	51	13	0	22	ASV146	SUBFAMILY	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Papilionoideae			98.35	52	99.42	100	Fabaceae	Lathyrus	Lathyrus vernus	NO	NO	NO	Assigned
OTU_18	28	0	45	0	33	39	24	0	0	82	111	161	77	126	59	55	ASV155	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Rubus		100.0	35	96.80	100	Rosaceae	Rubus	Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus canduliger;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus condensatus;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foersteri;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus lindleianus;Rubus loehrii;Rubus muenteri;Rubus muridens;Rubus negatus;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus picearum;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus procerus;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus schleicheri;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris	NO	NO	YES	Assigned
OTU_19	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	ASV160	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Amygdaloideae	Sorbus		99.49	85	100.00	100	Rosaceae	Sorbus	Sorbus aria;Sorbus arvonensis;Sorbus cambrensis;Sorbus cheddarensis;Sorbus cuneifolia;Sorbus danubialis;Sorbus devoniensis;Sorbus eminens;Sorbus eminentiformis;Sorbus graeca;Sorbus hibernica;Sorbus leighensis;Sorbus leptophylla;Sorbus parviloba;Sorbus porrigentiformis;Sorbus richii;Sorbus rupicola;Sorbus rupicoloides;Sorbus saxicola;Sorbus stenophylla;Sorbus stirtoniana;Sorbus vexans;Sorbus whiteana	NO	NO	YES	Assigned
OTU_20	0	0	0	0	0	17	0	5	0	0	0	0	92	0	48	29	ASV165	SUBFAMILY	Tracheophyta	Magnoliopsida	Brassicales	Brassicaceae	Brassicoideae			100.0	88	98.40	100	Brassicaceae	Cardamine	Cardamine parviflora	NO	NO	NO	Assigned
OTU_21	0	0	0	0	186	0	0	0	0	0	0	0	0	0	0	0	ASV177	GENUS	Tracheophyta	Magnoliopsida	Malpighiales	Salicaceae		Salix		100.0	100	100.00	100	Salicaceae	Salix	Salix alba;Salix alba x rubens;Salix babylonica;Salix fragilis;Salix rosthornii;Salix x rubens	NO	NO	YES	Assigned
OTU_22	0	0	0	0	157	0	0	0	0	0	0	0	0	0	13	10	ASV188	SUBFAMILY	Tracheophyta	Magnoliopsida	Ranunculales	Ranunculaceae	Ranunculoideae			87.39	25	100.00	100	Ranunculaceae	Aconitum	Aconitum lycoctonum	NO	NO	NO	Assigned
OTU_23	0	0	0	0	644	0	0	0	0	310	0	0	0	11	298	0	ASV197	Unassigned									0		0				NO	NO	NO	Unassigned
OTU_24	28	0	0	0	0	0	14	27	0	0	0	0	0	0	36	57	ASV198	CLASS	Tracheophyta	Magnoliopsida						100.0	88	100.00	100	Ranunculaceae	Anemone	Anemone nemorosa	NO	NO	NO	Assigned
OTU_25	8	0	0	0	0	14	19	18	0	0	0	0	0	0	32	17	ASV248	SPECIES	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Digitalidoideae	Veronica	Veronica officinalis	94.52	17	100.00	100	Plantaginaceae	Veronica	Veronica officinalis	NO	NO	NO	Assigned
OTU_26	0	0	845	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV289	Unassigned									0		0				NO	NO	NO	Unassigned
OTU_27	0	0	0	0	0	0	0	0	0	10	0	19	4	7	2	20	ASV314	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Rubus		100.0	100	100.00	100	Rosaceae	Rubus	Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades	NO	NO	YES	Assigned
OTU_28	0	0	0	0	0	0	0	61	0	0	0	0	0	7	0	0	ASV319	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Rubus		99.85	46	100.00	100	Rosaceae	Rubus	Rubus caesius;Rubus caesius x Rubus idaeus;Rubus idaeus;Rubus saxatilis	NO	NO	YES	Assigned
OTU_29	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	ASV322	Unassigned									0		0				NO	NO	NO	Unassigned
OTU_30	29	0	0	0	0	0	0	0	0	0	0	14	16	0	0	0	ASV347	GENUS	Tracheophyta	Magnoliopsida	Apiales	Araliaceae		Hedera		100.0	6	97.89	100	Araliaceae	Hedera	Hedera helix	NO	NO	NO	Assigned
OTU_31	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV352	Unassigned									0		0				NO	NO	NO	Unassigned
OTU_32	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	ASV381	SPECIES	Tracheophyta	Magnoliopsida	Fabales	Fabaceae		Genista	Genista tinctoria	100.0	12	100.00	100	Fabaceae	Genista	Genista tinctoria	NO	NO	NO	Assigned
OTU_33	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	18	ASV382	SUBFAMILY	Tracheophyta	Magnoliopsida	Apiales	Apiaceae	Saniculoideae			100.0	6	96.09	100	Apiaceae	Sanicula	Sanicula epipactis	NO	NO	NO	Assigned
OTU_34	11	0	0	0	12	0	0	0	0	0	9	0	13	0	0	0	ASV383	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Rubus		100.0	10	96.26	100	Rosaceae	Rubus	Rubus adspersus;Rubus amisiensis;Rubus bovinus;Rubus chloocladus;Rubus cochinchinensis;Rubus deweveri;Rubus divaricatus;Rubus elegantispinosus;Rubus genevieri;Rubus longior;Rubus montanus;Rubus mucronipetalus;Rubus neanias;Rubus nelliae;Rubus nemoripatens;Rubus opacus;Rubus paludosus;Rubus passionis;Rubus poliothyrsus;Rubus pugiunculosus;Rubus rufescens;Rubus sciocharis;Rubus sp. Glandulosi MS-2014b;Rubus sp. MS-2014a;Rubus spina-curva;Rubus splendidus;Rubus stereacanthos;Rubus winteri	NO	NO	YES	Assigned
OTU_35	0	0	0	0	46	0	4	28	0	0	0	0	0	12	0	0	ASV394	CLASS	Tracheophyta	Magnoliopsida						100.0	92	100.00	100	Euphorbiaceae	Euphorbia	Euphorbia carniolica	NO	NO	NO	Assigned
OTU_36	11	0	0	0	30	0	0	0	0	0	0	15	0	0	0	0	ASV395	GENUS	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Lamioideae	Lamium		84.44	13	99.10	100	Lamiaceae	Lamium	Lamium galeobdolon subsp. flavidum	NO	NO	NO	Assigned
OTU_37	20	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	ASV406	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Rubus		97.66	50	99.07	100	Rosaceae	Rubus	Rubus allegheniensis;Rubus canadensis;Rubus pensilvanicus	NO	NO	YES	Assigned
OTU_38	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	ASV412	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Rubus		100.0	100	100.00	100	Rosaceae	Rubus	Rubus aciodonthus;Rubus adulans;Rubus amisiensis;Rubus aphidifer;Rubus arrheniiformis;Rubus bertramii;Rubus bovinus;Rubus braeuckeriformis;Rubus caesius;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus dasyphyllus;Rubus dejonghii;Rubus divaricatus;Rubus edeesii;Rubus eglandulosus;Rubus eifeliensis;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foliosus;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus griesiae;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus horrefactus;Rubus hypomalacus;Rubus incisior;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus leucandrus;Rubus lindebergii;Rubus lobatidens;Rubus magnisepalus;Rubus montanus;Rubus muenteri;Rubus mus;Rubus nemoralis;Rubus nemoripatens;Rubus nitidiformis;Rubus opacus;Rubus oreades;Rubus phoenicolasius;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus scidularum;Rubus sciocharis;Rubus senticosus;Rubus spiculus;Rubus tubanticus;Rubus ubericus;Rubus vulgaris	NO	NO	YES	Assigned
OTU_39	0	0	0	0	0	0	0	0	0	28	12	0	0	0	0	0	ASV428	SPECIES	Tracheophyta	Magnoliopsida	Crossosomatales	Staphyleaceae		Staphylea	Staphylea pinnata	93.42	3	100.00	100	Staphyleaceae	Staphylea	Staphylea pinnata	NO	NO	NO	Assigned
OTU_40	9	0	0	0	17	0	0	0	6	3	0	0	0	0	43	0	ASV451	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Amygdaloideae	Sorbus		96.35	72	100.00	100	Rosaceae	Sorbus	Sorbus arranensis;Sorbus aucuparia;Sorbus cuneifolia	NO	NO	YES	Assigned
OTU_41	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	ASV463	GENUS	Tracheophyta	Magnoliopsida	Lamiales	Lamiaceae	Ajugoideae	Teucrium		86.07	17	100.00	100	Lamiaceae	Teucrium	Teucrium scordium;Teucrium scorodonia	NO	NO	YES	Assigned
OTU_42	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	ASV480	Unassigned									0		0				NO	NO	NO	Unassigned
OTU_43	31	0	0	0	0	0	0	0	0	0	0	0	0	0	14	10	ASV482	GENUS	Tracheophyta	Magnoliopsida	Lamiales	Oleaceae		Fraxinus		96.0	47	100.00	100	Oleaceae	Fraxinus	Fraxinus angustifolia;Fraxinus excelsior	NO	NO	YES	Assigned
OTU_44	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV483	SPECIES	Tracheophyta	Magnoliopsida	Lamiales	Oleaceae		Fraxinus	Fraxinus ornus	100.0	3	99.65	100	Oleaceae	Fraxinus	Fraxinus ornus	NO	NO	NO	Assigned
OTU_45	5	0	0	0	0	0	0	0	0	22	0	0	0	0	132	0	ASV491	Unassigned									0		0				NO	NO	NO	Unassigned
OTU_46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	ASV511	SPECIES	Tracheophyta	Magnoliopsida	Lamiales	Plantaginaceae	Digitalidoideae	Veronica	Veronica montana	92.79	10	100.00	100	Plantaginaceae	Veronica	Veronica montana	NO	NO	NO	Assigned
OTU_47	28	0	0	0	0	0	0	0	0	6	0	5	7	0	0	0	ASV513	GENUS	Tracheophyta	Magnoliopsida	Apiales	Araliaceae		Hedera		92.89	17	99.56	100	Araliaceae;Ranunculaceae	Clematis;Hedera	Clematis flammula;Hedera helix;Hedera helix subsp. helix	YES	YES	YES	Assigned
OTU_48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	ASV519	Unassigned									0		0				NO	NO	NO	Unassigned
OTU_49	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	ASV532	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Rubus		100.0	100	99.60	100	Rosaceae	Rubus	Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus condensatus;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus eifeliensis;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagellaris;Rubus flagelliflorus;Rubus flexuosus;Rubus foersteri;Rubus foliosus;Rubus frederici;Rubus fruticosus agg.;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus ignoratus;Rubus incarnatus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus lindleianus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus procerus;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus schleicheri;Rubus sciocharis;Rubus senticosus;Rubus sprengelii;Rubus teretiusculus;Rubus tubanticus;Rubus ulmifolius;Rubus urticifolius;Rubus vulgaris	NO	NO	YES	Assigned
OTU_50	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	ASV538	CLASS	Tracheophyta	Magnoliopsida						98.72	94	99.15	100	Boraginaceae;Orobanchaceae	Castilleja;Mertensia	Castilleja yukonis;Mertensia longiflora;Mertensia maritima;Mertensia paniculata	YES	YES	YES	Assigned
OTU_51	0	0	0	0	0	0	0	0	0	0	0	8	0	0	15	0	ASV575	CLASS	Tracheophyta	Magnoliopsida						100.0	94	99.70	100	Celastraceae	Euonymus	Euonymus verrucosus	NO	NO	NO	Assigned
OTU_52	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	ASV596	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Rubus		99.57	93	98.93	100	Rosaceae	Rubus	Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris	NO	NO	YES	Assigned
OTU_53	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	ASV609	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Rubus		99.62	92	99.37	100	Rosaceae	Rubus	Rubus fruticosus agg.	NO	NO	NO	Assigned
OTU_54	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0	0	ASV647	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Rubus		98.48	69	100.00	100	Rosaceae	Rubus	Rubus cochinchinensis;Rubus coreanus;Rubus idaeus;Rubus phoenicolasius;Rubus saxatilis	NO	NO	YES	Assigned
OTU_55	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	ASV674	CLASS	Tracheophyta	Magnoliopsida						100.0	94	98.48	100	Boraginaceae	Pulmonaria	Pulmonaria angustifolia;Pulmonaria obscura;Pulmonaria officinalis	NO	NO	YES	Assigned
OTU_56	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	ASV675	Unassigned									0	82.00	100	Chlorodendraceae	Tetraselmis	Tetraselmis sp. KMMCC 1449	NO	NO	NO	Unassigned
OTU_57	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	ASV714	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Rubus		100.0	40	96.97	100	Rosaceae	Rubus	Rubus oreades	NO	NO	NO	Assigned
OTU_58	0	0	0	0	0	5	0	0	6	0	0	13	0	0	0	12	ASV716	SUBFAMILY	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae			100.0	3	96.39	100	Rosaceae	Fragaria	Fragaria vesca	NO	NO	NO	Assigned
OTU_59	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV720	GENUS	Tracheophyta	Magnoliopsida	Boraginales	Boraginaceae		Omphalodes		98.12	6	99.34	100	Boraginaceae	Omphalodes	Omphalodes verna	NO	NO	NO	Assigned
OTU_60	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	ASV736	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Rubus		99.63	44	98.78	100	Rosaceae	Rubus	Rubus coreanus;Rubus inopertus;Rubus inopertus var. echinocalyx;Rubus mesogaeus;Rubus phoenicolasius;Rubus subinopertus	NO	NO	YES	Assigned
OTU_61	4	0	0	0	8	0	0	0	0	12	0	0	0	0	0	0	ASV739	GENUS	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Quercoideae	Quercus		99.88	72	98.93	100	Fagaceae	Quercus	Quercus aliena	NO	NO	NO	Assigned
OTU_62	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	ASV741	Unassigned									0		0				NO	NO	NO	Unassigned
OTU_63	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	ASV753	FAMILY	Tracheophyta	Magnoliopsida	Rosales	Rosaceae				99.61	23	94.87	100	Rosaceae	Acaena	Acaena ovalifolia	NO	NO	NO	Assigned
OTU_64	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	ASV759	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Rosoideae	Rubus		100.0	100	100.00	100	Rosaceae	Rubus	Rubus aciodonthus;Rubus adulans;Rubus amisiensis;Rubus aphidifer;Rubus arrheniiformis;Rubus bertramii;Rubus bovinus;Rubus braeuckeriformis;Rubus caesius;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus dasyphyllus;Rubus dejonghii;Rubus divaricatus;Rubus edeesii;Rubus eglandulosus;Rubus eifeliensis;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foliosus;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus griesiae;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus horrefactus;Rubus hypomalacus;Rubus incisior;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus leucandrus;Rubus lindebergii;Rubus lobatidens;Rubus magnisepalus;Rubus montanus;Rubus muenteri;Rubus mus;Rubus nemoralis;Rubus nemoripatens;Rubus nitidiformis;Rubus opacus;Rubus oreades;Rubus phoenicolasius;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus scidularum;Rubus sciocharis;Rubus senticosus;Rubus spiculus;Rubus tubanticus;Rubus ubericus;Rubus vulgaris	NO	NO	YES	Assigned
OTU_65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	ASV764	CLASS	Tracheophyta	Magnoliopsida						100.0	81	100.00	100	Euphorbiaceae	Euphorbia	Euphorbia amygdaloides;Euphorbia characias	NO	NO	YES	Assigned
OTU_66	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	ASV766	GENUS	Tracheophyta	Magnoliopsida	Rosales	Rosaceae	Amygdaloideae	Prunus		98.28	83	100.00	100	Rosaceae	Prunus	Prunus domestica subsp. insititia;Prunus tenella	NO	NO	YES	Assigned
OTU_67	0	0	0	0	0	0	0	0	0	10	0	0	0	8	0	0	ASV780	Unassigned									0	84.16	100	Chlorodendraceae	Tetraselmis	Tetraselmis sp. KMMCC 1449	NO	NO	NO	Unassigned
