ASV,Total_reads,LME1636,LME1637,LME1656,LME1663,LME1668,LME1670,LME1679,LME1689,LME1692,LME1695,LME1698,LME1701,LME1702,LME1705,LME1708,LME1714,Tax_Rank,Phylum,Class,Order,Family,Subfamily,Genus,Species,Confidence,Supporting_Recs,Best_ID_percent,Number_of_BOLD_hits,Top_hit_families,Top_hit_genera,Top_hit_species,Ambiguous_family,Ambiguous_genus,Ambiguous_species,Assignment_status
ASV1123,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,100,99.02,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus allegheniensis;Rubus arrheniiformis;Rubus bertramii;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus canadensis;Rubus caninitergi;Rubus cochinchinensis;Rubus dasyphyllus;Rubus dejonghii;Rubus divaricatus;Rubus edeesii;Rubus eglandulosus;Rubus eifeliensis;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foliosus;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus leucandrus;Rubus lindebergii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus oreades;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus scissoides;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV1137,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,100,100.00,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adspersus;Rubus amisiensis;Rubus arrheniiformis;Rubus bovinus;Rubus braeuckeriformis;Rubus campaniensis;Rubus canescens;Rubus chloocladus;Rubus cochinchinensis;Rubus dasyphyllus;Rubus deweveri;Rubus divaricatus;Rubus eglandulosus;Rubus eifeliensis;Rubus elegantispinosus;Rubus favillatus;Rubus flagellaris;Rubus frederici;Rubus fruticosus agg.;Rubus genevieri;Rubus gloriosus;Rubus hispidus;Rubus insectifolius;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus leucandrus;Rubus longior;Rubus montanus;Rubus mucronipetalus;Rubus neanias;Rubus nelliae;Rubus nemoripatens;Rubus nitidiformis;Rubus opacus;Rubus paludosus;Rubus passionis;Rubus planus;Rubus plicatus;Rubus poliothyrsus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus sp. Glandulosi MS-2014b;Rubus sp. MS-2014a;Rubus sp. MS-2014i;Rubus sp. MS-2014k;Rubus spina-curva;Rubus splendidus;Rubus sprengelii;Rubus stereacanthos;Rubus tubanticus;Rubus ulmifolius;Rubus ursinus;Rubus urticifolius;Rubus vulgaris;Rubus winteri,NO,NO,YES,Assigned
ASV1153,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,12,97.71,100,Rosaceae,Rubus,Rubus flagellaris;Rubus lasiandrus;Rubus pentagonus;Rubus pinnatisepalus;Rubus reflexus,NO,NO,YES,Assigned
ASV1154,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,,,95.07,73,100.00,100,Orobanchaceae;Rosaceae,Castilleja;Rubus,Castilleja unalaschcensis;Rubus coreanus;Rubus fruticosus agg.;Rubus ichangensis;Rubus idaeus;Rubus lambertianus;Rubus parviflorus;Rubus pubescens;Rubus pungens var. indefensus;Rubus saxatilis;Rubus sumatranus,YES,YES,YES,Assigned
ASV1159,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteroideae,,,78.43,38,97.74,100,Asteraceae,Achillea;Arnica;Chromolaena;Praxelis;Riencourtia;Sigesbeckia;Viguiera,Achillea maritima;Arnica chamissonis;Chromolaena multiflosculosa;Praxelis asperulacea;Riencourtia pedunculosa;Sigesbeckia flosculosa;Viguiera dentata,NO,YES,YES,Low-confidence
ASV1206,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,SUBFAMILY,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Coryloideae,,,79.71,60,100.00,100,Betulaceae,Corylus,Corylus heterophylla;Corylus sieboldiana,NO,NO,YES,Low-confidence
ASV125,215,11,0,20,0,0,16,0,0,2,0,0,34,32,37,20,43,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.97,92,99.20,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus condensatus;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foersteri;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus lindleianus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus procerus;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus schleicheri;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV127,212,30,0,0,0,0,0,0,39,0,0,0,0,0,0,91,52,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.9,90,100.00,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV131,203,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.7,94,100.00,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV1312,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.46,35,99.54,100,Rosaceae,Rubus,Rubus flagellaris;Rubus lasiandrus;Rubus pentagonus;Rubus pinnatisepalus;Rubus reflexus,NO,NO,YES,Assigned
ASV1336,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.44,35,99.54,100,Rosaceae,Rubus,Rubus flagellaris;Rubus lasiandrus;Rubus pentagonus;Rubus pinnatisepalus;Rubus reflexus,NO,NO,YES,Assigned
ASV1337,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.99,26,98.62,100,Rosaceae,Rubus,Rubus acuminatus;Rubus stimulans;Rubus subornatus,NO,NO,YES,Assigned
ASV14,2311,170,218,235,0,139,425,153,236,0,104,30,0,0,105,496,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.6,98,100.00,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus loehrii;Rubus muenteri;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV152,172,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,117,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.3,97,99.73,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades,NO,NO,YES,Assigned
ASV155,167,0,0,0,0,0,27,0,0,0,0,0,74,0,66,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,35,96.80,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus canduliger;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus condensatus;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foersteri;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus lindleianus;Rubus loehrii;Rubus muenteri;Rubus muridens;Rubus negatus;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus picearum;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus procerus;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus schleicheri;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV16,1644,0,0,0,0,0,0,0,0,0,0,601,321,337,385,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.29,97,99.73,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades,NO,NO,YES,Assigned
ASV160,163,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Amygdaloideae,Sorbus,,99.49,85,100.00,100,Rosaceae,Sorbus,Sorbus aria;Sorbus arvonensis;Sorbus cambrensis;Sorbus cheddarensis;Sorbus cuneifolia;Sorbus danubialis;Sorbus devoniensis;Sorbus eminens;Sorbus eminentiformis;Sorbus graeca;Sorbus hibernica;Sorbus leighensis;Sorbus leptophylla;Sorbus parviloba;Sorbus porrigentiformis;Sorbus richii;Sorbus rupicola;Sorbus rupicoloides;Sorbus saxicola;Sorbus stenophylla;Sorbus stirtoniana;Sorbus vexans;Sorbus whiteana,NO,NO,YES,Assigned
ASV161,163,0,0,0,0,0,12,0,0,0,0,0,0,32,37,27,55,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,100.0,73,97.33,100,Rosaceae,Rubus,Rubus aciodonthus;Rubus adulans;Rubus arrheniiformis;Rubus asperidens;Rubus bovinus;Rubus braeuckeriformis;Rubus calotemnus;Rubus campaniensis;Rubus canduliger;Rubus caninitergi;Rubus chloocladus;Rubus cochinchinensis;Rubus condensatus;Rubus confusidens;Rubus dasyphyllus;Rubus dejonghii;Rubus diversus;Rubus eglandulosus;Rubus egregius;Rubus elegantispinosus;Rubus euryanthemus;Rubus flagelliflorus;Rubus flexuosus;Rubus foersteri;Rubus frederici;Rubus gelertii;Rubus gloriosus;Rubus guestphalicus;Rubus hastiferus;Rubus henrici-weberi;Rubus holerythros;Rubus hypomalacus;Rubus insectifolius;Rubus integribasis;Rubus iuvenis;Rubus langei;Rubus lasiandrus;Rubus latiarcuatus;Rubus lindleianus;Rubus loehrii;Rubus muenteri;Rubus muridens;Rubus negatus;Rubus nemoralis;Rubus nitidiformis;Rubus opacus;Rubus picearum;Rubus planus;Rubus platyacanthus;Rubus plicatus;Rubus poliothyrsus;Rubus polyanthemus;Rubus praticolor;Rubus procerus;Rubus psilops;Rubus pugiunculosus;Rubus radula;Rubus raduloides;Rubus rubercadaver;Rubus rufescens;Rubus schlechtendalii;Rubus schleicheri;Rubus sciocharis;Rubus senticosus;Rubus tubanticus;Rubus vulgaris,NO,NO,YES,Assigned
ASV162,163,0,0,0,0,0,0,0,0,0,0,43,0,0,0,120,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,98.67,88,100.00,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus idaeus;Rubus saxatilis,NO,NO,YES,Assigned
ASV170,149,0,0,0,0,0,29,0,0,0,0,64,0,0,56,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.57,96,99.47,100,Rosaceae,Rubus,Rubus cochinchinensis;Rubus longior;Rubus negatus;Rubus oreades,NO,NO,YES,Assigned
ASV177,143,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,,Salix,,100.0,100,100.00,100,Salicaceae,Salix,Salix alba;Salix alba x rubens;Salix babylonica;Salix fragilis;Salix rosthornii;Salix x rubens,NO,NO,YES,Assigned
ASV18,1560,0,0,0,0,773,0,0,0,0,122,0,0,445,0,0,220,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.32,98,100.00,100,Rosaceae,Rubus,Rubus adspersus;Rubus cochinchinensis;Rubus edeesii,NO,NO,YES,Assigned
ASV189,129,0,0,0,0,0,0,129,0,0,0,0,0,0,0,0,0,GENUS,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rosoideae,Rubus,,99.59,96,99.73,100,Rosaceae,Rubus,Rubus cordiformis;Rubus surrectus,NO,NO,YES,Assigned
